title,url,release_date,critic_score,audience_score,release_year,title_clean,id,popularity,vote_count,vote_average,overview
Taking Off,https://www.rottentomatoes.com/m/taking_off,"Released Mar 28, 1971",100.0,84.0,1971.0,taking off,59881,0.9118,102,6.868,"Unable to deal with her parents, Jeannie Tyne runs away from home. Larry and Lynn Tyne search for her, and in the process meet other people whose children ran away. With their children gone, the parents are now free to rediscover/enjoy life."
The Big Doll House,https://www.rottentomatoes.com/m/big_doll_house,1971,100.0,50.0,1971.0,the big doll house,42517,1.0223,79,5.576,Female prisoners in a Philippine jail are being subjected to sadistic torture. Five of the women -- along with the help of two men -- plot an escape.
The New Land,https://www.rottentomatoes.com/m/the_new_land,"Released Feb 26, 1972",100.0,86.0,1972.0,the new land,42488,0.8255,104,7.5,"A Swedish immigrant family struggles to adapt to their new life on the American frontier during the second half of the 19th century amidst civil war, native uprising and the lure of gold in California."
The Go-Between,https://www.rottentomatoes.com/m/gobetween,"Released Jul 29, 1971",100.0,78.0,1971.0,the gobetween,36194,0.9497,153,6.801,"British teenager Leo Colston spends a summer in the countryside, where he develops a crush on the beautiful young aristocrat Marian. Eager to impress her, Leo becomes the ""go-between"" for Marian, delivering secret romantic letters to Ted Burgess, a handsome neighboring farmer."
On a Clear Day You Can See Forever,https://www.rottentomatoes.com/m/on_a_clear_day_you_can_see_forever,"Released Jun 17, 1970",100.0,75.0,1970.0,on a clear day you can see forever,38222,0.6713,62,6.7,"Daisy Gamble, an unusual woman who hears phones before they ring, and does wonders with her flowers, wants to quit smoking to please her fiancé, Warren. She goes to a doctor of hypnosis to do it. But once she's under, her doctor finds out that she can regress into past lives and different personalities, and he finds himself falling in love with one of them."
Days and Nights in the Forest,https://www.rottentomatoes.com/m/days_and_nights_in_the_forest,1970,100.0,97.0,1970.0,days and nights in the forest,35867,0.2301,36,6.9,"Four friends from Calcutta who have very different personalities make a holiday excursion into the country, to a tiny village in the state of Bihar where they set themselves up in a bungalow. A series of minor events, all connected to their respective reactions to their new environment, reveals their characters more deeply."
Lovers and Other Strangers,https://www.rottentomatoes.com/m/lovers_and_other_strangers,"Released Aug 12, 1970",100.0,75.0,1970.0,lovers and other strangers,42593,0.4644,23,4.9,"Mike Vecchio and Susan Henderson are preparing for their upcoming wedding. However, they seem to be the only two people at the wedding that are happy. Mike's brother Richie and his wife Joan are going through a divorce, which is upsetting his overly devout Catholic mother Beatrice. Also, Susan's father is carrying on an affair and her sex starved older sister Wilma is going through her troubles with her husband Johnny. All this is going on while Mike's best friend Jerry is trying to bed the maid of honor, Susan's cousin Brenda."
I Never Sang for My Father,https://www.rottentomatoes.com/m/i_never_sang_for_my_father,"Released Oct 18, 1970",100.0,83.0,1970.0,i never sang for my father,92283,0.3947,39,6.551,"Hackman plays a New York professor who wants a change in his life, and plans to get married to his girlfriend and move to California. His mother understands his need to get away, but warns him that moving so far away could be hard on his father. Just before the wedding, the mother dies. Hackman's sister (who has been disowned by their father for marrying a Jewish man) advises him to live his own life, and not let himself be controlled by their father."
Fat City,https://www.rottentomatoes.com/m/fat_city,"Released Jul 26, 1972",100.0,84.0,1972.0,fat city,16993,0.6838,173,7.043,"Two men, working as professional boxers, come to blows when their careers each begin to take opposite momentum."
The Big Bird Cage,https://www.rottentomatoes.com/m/big_bird_cage,1972,100.0,63.0,1972.0,the big bird cage,22910,0.777,83,5.584,Women rebel against slave labor in a filthy jungle prison where they feed sugar cane to a mechanical maw.
