id,title,release_date,vote_average,vote_count,popularity,genre_ids,overview
9062,Love Story,1970-12-16,6.828,725,5.2883,"[10749, 18]","Harvard Law student Oliver Barrett IV and music student Jennifer Cavilleri share a chemistry they cannot deny - and a love they cannot ignore. Despite their opposite backgrounds, the young couple put their hearts on the line for each other. When they marry, Oliver's wealthy father threatens to disown him. Jenny tries to reconcile the Barrett men, but to no avail."
10671,Airport,1970-03-25,6.451,429,1.9533,"[28, 18, 53]","An airport manager tries to keep his terminals open during a snowstorm, while a suicide bomber plots to blow up a Boeing 707 airliner in flight."
651,M*A*S*H,1970-02-18,6.955,1120,4.0511,"[35, 18, 10752]","One of the world's most acclaimed comedies, M*A*S*H focuses on three Korean War Army surgeons brilliantly brought to life by Donald Sutherland, Tom Skerritt and Elliott Gould. Though highly skilled and deeply dedicated, they adopt a hilarious, lunatic lifestyle as an antidote to the tragedies of their Mobile Army Surgical Hospital, and in the process infuriate Army bureaucrats. Robert Duvall, Gary Burghoff and Sally Kellerman co-star as a sanctimonious Major, an other-worldly Corporal, and a self-righteous yet lusty nurse."
11202,Patton,1970-01-25,7.5,1182,3.067,"[10752, 18, 36]","""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with Patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination."
10112,The Aristocats,1970-12-24,7.294,5302,5.7114,"[16, 35, 10751, 12]","When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue."
10112,The Aristocats,1970-12-24,7.294,5302,5.7114,"[16, 35, 10751, 12]","When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue."
588226,Woodstock: Three Days That Defined a Generation,2019-05-24,7.255,49,0.3425,"[10402, 99]","50 years after the legendary fest, Barak Goodman’s electric retelling of Woodstock, from the point of view of those who were on the ground, evokes the freedom, passion, community, and joy the three-day music festival created."
11040,Little Big Man,1970-12-23,7.454,699,2.6485,"[37, 35, 12]","Jack Crabb, looking back from extreme old age, tells of his life being raised by Indians and fighting with General Custer."
38953,Ryan's Daughter,1970-03-19,7.088,165,0.7026,"[10749, 36, 18]","In the wake of the 1916 Easter Rising, a married schoolteacher in a small Irish village has an affair with a troubled British officer."
11165,Tora! Tora! Tora!,1970-01-26,7.1,581,3.0716,"[10752, 36, 18]","In the summer of 1941, the United States and Japan seem on the brink of war after constant embargos and failed diplomacy come to no end. ""Tora! Tora! Tora!"", named after the code words used by the lead Japanese pilot to indicate they had surprised the Americans, covers the days leading up to the attack on Pearl Harbor, which plunged America into the Second World War."
10364,Catch-22,1970-06-24,6.661,342,3.7944,"[10752, 35]",A WWII military pilot makes a valiant effort to be certified insane in order to be excused from flying missions. But there's a catch.
42594,Scream and Scream Again,1970-02-02,5.278,105,0.4915,"[27, 878]",A serial killer who drains his victims for blood is on the loose and London police follow him to a house owned by an eccentric scientist.
1113093,Jenny,2017-01-24,0.0,0,2.0598,[18],"The adolescent world of Jenny consists of boredom, school, and her ""best friend forever"". Everything changes when she falls in love with the new boy, Boris. It's time for her to have new experiences."
1338087,The Tick,1978-01-01,0.0,0,0.405,"[18, 12]",A man fights alone against the slum landlords.
